time	r_pcm	vr_pcm	fi_n	fi_v	snr_so	so_r_pcm	so_vr_pcm	so_fi_n_pcm	so_fi_v_pcm	z_r	z_vr	z_fi_n	z_fi_v
2.8038	940673.7851	5207.519531	2.577741208	-0.697662421	23.0593492	4.879434538	-3.776550293	0.028114838	0.021555048	940668.9057	5211.296082	2.549626371	-0.719217468
2.8584	940373.9926	5207.519531	2.577741208	-0.681765556	21.31634569	-6.050498827	-2.059936523	-0.04567971	-0.015162418	940380.0431	5209.579468	2.623420918	-0.666603138
2.9106	940099.1829	5207.519531	2.584813145	-0.662336126	18.81757096	-5.660144064	-2.746582031	-0.000441883	-0.0417609	940104.843	5210.266113	2.585255029	-0.620575225
2.9652	939824.3731	5207.519531	2.588349129	-0.63937417	20.56057447	6.245676208	-0.686645508	-0.022370352	-0.081530147	939818.1274	5208.206177	2.610719481	-0.557844023
3.0198	939524.5807	5207.519531	2.593653122	-0.609347151	16.47817482	0.780709526	2.746582031	0.032726997	-0.042724613	939523.8	5204.772949	2.560926125	-0.566622538
3.0744	939249.7709	5207.519531	2.595421125	-0.586385426	19.64542466	0.975886908	4.463195801	0.034466914	0.067170811	939248.795	5203.056335	2.560954211	-0.653556237
3.129	938949.9785	5207.519531	2.595421125	-0.57402146	23.0593492	-8.978159549	5.149841309	-0.050816607	0.009412264	938958.9566	5202.36969	2.646237732	-0.583433724
3.1836	938675.1687	5196.533203	2.604261176	-0.556358697	23.0593492	0.390354763	-4.119873047	0.032202261	-0.012528269	938674.7783	5200.653076	2.572058915	-0.543830428
3.2382	938375.3762	5196.533203	2.60249316	-0.535163452	22.14419939	-10.5395786	-3.433227539	0.024496916	-0.017828691	938385.9158	5199.966431	2.577996244	-0.517334761
3.2928	938100.5665	5196.533203	2.604261176	-0.513968279	20.15650675	3.513192867	-2.746582031	0.010549968	0.058722255	938097.0533	5199.279785	2.593711207	-0.572690535
3.3474	937825.7567	5196.533203	2.606029193	-0.501604461	18.06179974	14.24794885	-2.403259277	0.085808281	-0.018985146	937811.5088	5198.936462	2.520220912	-0.482619315
